epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
79,32908.7,1.72767,0.68873,0.96288,0.70978,0.70817,0.71796,0.37172,1.55485,0.71356,0.99889,0.0098713,0.0098713,0.0098713
80,33405.4,1.72458,0.69908,0.98241,0.71405,0.72547,0.7304,0.38383,1.60071,0.75541,1.00942,0.00986965,0.00986965,0.00986965
81,33816.1,1.71063,0.70625,0.97772,0.67676,0.56139,0.6494,0.31317,1.75927,0.795,1.04902,0.009868,0.009868,0.009868
82,34157.2,1.67845,0.69336,0.97078,0.66687,0.78739,0.71685,0.3671,1.55857,0.69817,0.99728,0.00986635,0.00986635,0.00986635
83,34592.3,1.62005,0.67888,0.97889,0.69601,0.82219,0.7487,0.3877,1.54676,0.74783,0.98484,0.0098647,0.0098647,0.0098647
84,35058.3,1.67632,0.68273,0.97564,0.71395,0.67508,0.71174,0.38335,1.53931,0.72159,0.98845,0.00986305,0.00986305,0.00986305
85,35405.1,1.6615,0.6737,0.97145,0.6831,0.86944,0.78269,0.41874,1.57271,0.68526,1.0017,0.0098614,0.0098614,0.0098614
86,35756.3,1.68905,0.67181,0.98742,0.73977,0.78187,0.8486,0.44153,1.55831,0.67458,0.99245,0.00985975,0.00985975,0.00985975
87,36176.3,1.65877,0.66158,0.96512,0.7037,0.82863,0.79741,0.43527,1.51803,0.72076,0.98963,0.0098581,0.0098581,0.0098581
88,36702.7,1.64776,0.6678,0.96735,0.76532,0.86713,0.84181,0.45372,1.50845,0.65057,0.9853,0.00985645,0.00985645,0.00985645
89,37089.4,1.65736,0.65926,0.95429,0.75368,0.9279,0.85873,0.43944,1.57049,0.64528,1.00059,0.0098548,0.0098548,0.0098548
90,37567.6,1.64014,0.6615,0.96211,0.69507,0.80564,0.75437,0.39203,1.51682,0.64543,0.98029,0.00985315,0.00985315,0.00985315
91,37986.4,1.63457,0.65248,0.96583,0.63323,0.80905,0.72191,0.3714,1.57029,0.69691,0.99355,0.0098515,0.0098515,0.0098515
92,38417.9,1.65043,0.66067,0.97206,0.72577,0.76674,0.7601,0.41871,1.52325,0.67308,0.98967,0.00984985,0.00984985,0.00984985
93,38791.7,1.62215,0.65332,0.97463,0.73769,0.86333,0.82226,0.44347,1.49388,0.64025,0.98065,0.0098482,0.0098482,0.0098482
94,39239.4,1.64322,0.65478,0.96161,0.64672,0.74765,0.75918,0.39149,1.55647,0.69902,0.9949,0.00984655,0.00984655,0.00984655
95,39653,1.6192,0.64404,0.96493,0.71895,0.84324,0.7614,0.40921,1.52507,0.65115,0.98924,0.0098449,0.0098449,0.0098449
96,40062.9,1.61385,0.64184,0.96593,0.64402,0.82733,0.69694,0.37919,1.55754,0.69718,0.99433,0.00984325,0.00984325,0.00984325
97,40494.4,1.62351,0.63918,0.95798,0.67285,0.75738,0.72264,0.3673,1.54732,0.70499,0.99034,0.0098416,0.0098416,0.0098416
98,40933.2,1.67118,0.6407,0.94866,0.78251,0.83071,0.83361,0.41616,1.55673,0.69097,0.98987,0.00983995,0.00983995,0.00983995
99,41272.3,1.59604,0.63147,0.9629,0.83501,0.74114,0.83896,0.43693,1.50831,0.6587,0.97815,0.0098383,0.0098383,0.0098383
100,41658.2,1.61317,0.63506,0.95569,0.82529,0.89627,0.89621,0.47141,1.49418,0.63201,0.97643,0.00983665,0.00983665,0.00983665
101,42047.5,1.56921,0.62885,0.95987,0.62383,0.81866,0.74743,0.3909,1.56989,0.81059,0.98959,0.009835,0.009835,0.009835
102,42452.2,1.59509,0.64018,0.95944,0.71984,0.84849,0.837,0.43882,1.55269,0.69654,0.99189,0.00983335,0.00983335,0.00983335
103,42943.1,1.61318,0.63688,0.94238,0.82031,0.80625,0.83753,0.45567,1.4718,0.6429,0.97051,0.0098317,0.0098317,0.0098317
104,43392.4,1.59544,0.63487,0.95068,0.76291,0.84075,0.83519,0.44662,1.45865,0.63063,0.96795,0.00983005,0.00983005,0.00983005
105,43853.8,1.60289,0.63353,0.9431,0.67171,0.66357,0.70897,0.3796,1.55477,0.66462,0.99499,0.0098284,0.0098284,0.0098284
106,44308.5,1.62946,0.63942,0.95471,0.65044,0.66193,0.68764,0.38382,1.50027,0.69123,0.97887,0.00982675,0.00982675,0.00982675
107,44685.1,1.60363,0.63253,0.95741,0.7196,0.72868,0.74447,0.38513,1.56471,0.65989,0.99643,0.0098251,0.0098251,0.0098251
