epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
108,5650.43,0.91182,1.09084,1.03529,0.90309,0.72747,0.74062,0.41635,0.991,1.28818,1.03829,0.000486148,0.000486148,0.000486148
109,5703.1,0.91907,1.08564,1.0351,0.9264,0.85514,0.87692,0.49148,1.01308,1.24005,1.0481,0.00048589,0.00048589,0.00048589
110,5755.7,0.88819,1.06036,1.02035,0.92107,0.87822,0.90946,0.51814,0.98876,1.20725,1.03901,0.00048563,0.00048563,0.00048563
111,5808.2,0.90702,1.08564,1.02037,0.93744,0.86928,0.91079,0.52057,1.01515,1.22744,1.05501,0.000485368,0.000485368,0.000485368
112,5860.91,0.92564,1.08829,1.02201,0.93566,0.83687,0.86135,0.48506,1.02316,1.24429,1.0537,0.000485103,0.000485103,0.000485103
113,5913.23,0.91782,1.08313,1.03422,0.9172,0.78913,0.8072,0.45907,0.97768,1.24976,1.03369,0.000484837,0.000484837,0.000484837
114,5965.83,0.90167,1.07041,1.02907,0.92064,0.86893,0.89411,0.49654,1.03604,1.24816,1.06527,0.000484568,0.000484568,0.000484568
115,6018.25,0.90873,1.08317,1.02288,0.90952,0.7745,0.80288,0.444,1.01782,1.28206,1.05214,0.000484296,0.000484296,0.000484296
116,6070.69,0.90094,1.07219,1.02851,0.90372,0.90236,0.9212,0.52553,0.9986,1.28813,1.04163,0.000484022,0.000484022,0.000484022
117,6123.29,0.90311,1.0733,1.03946,0.94059,0.87417,0.91565,0.50514,0.98722,1.23119,1.04194,0.000483746,0.000483746,0.000483746
118,6175.92,0.91771,1.07272,1.03342,0.92567,0.81303,0.85762,0.4905,1.0106,1.28876,1.05116,0.000483468,0.000483468,0.000483468
119,6228.89,0.90097,1.06492,1.02596,0.91731,0.85197,0.89359,0.50183,1.03038,1.28146,1.05604,0.000483188,0.000483188,0.000483188
120,6281.66,0.904,1.06623,1.03152,0.9112,0.80021,0.82735,0.47807,0.99394,1.23831,1.03928,0.000482905,0.000482905,0.000482905
121,6334.26,0.90578,1.0572,1.03635,0.93223,0.86264,0.88848,0.49632,1.01904,1.23084,1.05189,0.00048262,0.00048262,0.00048262
122,6386.8,0.8849,1.05293,1.02016,0.95604,0.85387,0.89119,0.50427,0.98495,1.20204,1.03646,0.000482332,0.000482332,0.000482332
123,6439.53,0.89669,1.04585,1.03659,0.91186,0.81276,0.82948,0.48024,0.98724,1.31273,1.03871,0.000482043,0.000482043,0.000482043
124,6491.98,0.88767,1.05193,1.04396,0.92175,0.8523,0.8894,0.52196,0.9852,1.30058,1.03751,0.000481751,0.000481751,0.000481751
125,6544.89,0.88639,1.04038,1.02564,0.94625,0.82654,0.8831,0.50789,0.98009,1.31736,1.03421,0.000481457,0.000481457,0.000481457
126,6597.46,0.88623,1.04989,1.01825,0.89146,0.72277,0.72654,0.40309,1.01196,1.33057,1.0485,0.00048116,0.00048116,0.00048116
127,6654.81,0.87301,1.03137,1.02414,0.92964,0.78623,0.79432,0.45075,1.00453,1.26945,1.04131,0.000480862,0.000480862,0.000480862
128,6709.94,0.90323,1.06814,1.01375,0.92503,0.81335,0.85091,0.4943,0.98611,1.19674,1.03985,0.000480561,0.000480561,0.000480561
129,6762.63,0.88775,1.04225,1.02183,0.91869,0.84144,0.8756,0.49548,1.00528,1.20879,1.05036,0.000480257,0.000480257,0.000480257
130,6815.3,0.89409,1.03935,1.01362,0.91415,0.85686,0.87215,0.49023,1.02458,1.22412,1.05675,0.000479952,0.000479952,0.000479952
131,6874.13,0.87988,1.02483,1.00968,0.94041,0.80028,0.82382,0.46681,1.00948,1.2519,1.0466,0.000479644,0.000479644,0.000479644
132,6926.37,0.87934,1.02697,1.01744,0.94446,0.85154,0.88602,0.50424,1.02056,1.25416,1.05339,0.000479334,0.000479334,0.000479334
133,6978.76,0.87542,1.02733,1.01628,0.93963,0.85351,0.89218,0.51412,1.00628,1.23217,1.04739,0.000479022,0.000479022,0.000479022
134,7031.13,0.88252,1.02746,1.01878,0.9344,0.87617,0.8991,0.51106,1.01283,1.21661,1.05012,0.000478708,0.000478708,0.000478708
135,7083.55,0.88715,1.04029,1.00972,0.90298,0.75174,0.78198,0.44454,0.99654,1.26319,1.04567,0.000478391,0.000478391,0.000478391
