epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
117,2953.37,1.34965,0.52769,0.92079,0.88662,0.87316,0.89119,0.49914,1.53489,0.64029,0.9298,0.000967493,0.000967493,0.000967493
118,2977.81,1.3592,0.52788,0.9262,0.8987,0.89965,0.92505,0.51572,1.55527,0.61623,0.93181,0.000966936,0.000966936,0.000966936
119,3021.78,1.35406,0.5323,0.92429,0.91659,0.90988,0.91993,0.52493,1.49262,0.60649,0.9206,0.000966375,0.000966375,0.000966375
120,3046.53,1.33041,0.52071,0.93207,0.90278,0.74883,0.76917,0.41117,1.58557,0.6334,0.93662,0.00096581,0.00096581,0.00096581
121,3070.96,1.34815,0.52383,0.92504,0.89925,0.86921,0.87867,0.48708,1.55255,0.62215,0.93315,0.000965239,0.000965239,0.000965239
122,3095.49,1.32223,0.52708,0.92142,0.91365,0.81452,0.82006,0.45444,1.52559,0.63372,0.92787,0.000964665,0.000964665,0.000964665
123,3119.93,1.37092,0.5316,0.92241,0.91651,0.88028,0.88,0.48775,1.52533,0.62552,0.92576,0.000964085,0.000964085,0.000964085
124,3144.32,1.3566,0.52861,0.9322,0.90023,0.88058,0.88275,0.49097,1.53931,0.62804,0.93709,0.000963502,0.000963502,0.000963502
125,3168.77,1.37682,0.52624,0.92687,0.89497,0.76761,0.80121,0.43235,1.58059,0.66738,0.94088,0.000962913,0.000962913,0.000962913
126,3193.28,1.33596,0.52314,0.91748,0.92249,0.88834,0.9195,0.5182,1.55549,0.63238,0.93679,0.00096232,0.00096232,0.00096232
127,3217.57,1.3463,0.52412,0.92463,0.88784,0.89773,0.89388,0.49925,1.51766,0.61263,0.93172,0.000961723,0.000961723,0.000961723
128,3241.91,1.3508,0.52305,0.9214,0.89702,0.84494,0.85446,0.47088,1.5925,0.62105,0.94126,0.000961121,0.000961121,0.000961121
129,3266.39,1.3745,0.53282,0.92632,0.90509,0.85185,0.85386,0.47776,1.51929,0.61291,0.92653,0.000960515,0.000960515,0.000960515
130,3290.72,1.33395,0.52202,0.91351,0.90551,0.89596,0.89774,0.50142,1.55058,0.64119,0.93031,0.000959904,0.000959904,0.000959904
131,3315.25,1.34179,0.51569,0.91722,0.9171,0.85652,0.87331,0.48568,1.55405,0.62922,0.93282,0.000959289,0.000959289,0.000959289
132,3339.47,1.35652,0.52915,0.92764,0.90553,0.75972,0.78311,0.43402,1.50625,0.63458,0.92756,0.000958669,0.000958669,0.000958669
133,3363.84,1.3618,0.52813,0.91809,0.89651,0.8295,0.84532,0.4678,1.51475,0.61015,0.9235,0.000958044,0.000958044,0.000958044
134,3388.22,1.34939,0.52108,0.91538,0.90996,0.88052,0.8876,0.49461,1.53936,0.61572,0.92881,0.000957416,0.000957416,0.000957416
135,3412.61,1.33724,0.51425,0.91926,0.89465,0.885,0.89782,0.50548,1.55353,0.62347,0.9345,0.000956782,0.000956782,0.000956782
136,3437.05,1.32851,0.51609,0.92952,0.89113,0.88365,0.88462,0.48947,1.53639,0.62445,0.92577,0.000956145,0.000956145,0.000956145
137,3461.42,1.36773,0.52059,0.92021,0.89007,0.8984,0.89085,0.49299,1.50155,0.61672,0.92269,0.000955502,0.000955502,0.000955502
138,3485.74,1.34741,0.52013,0.91814,0.89784,0.81851,0.82995,0.45801,1.51983,0.62504,0.92965,0.000954856,0.000954856,0.000954856
139,3510.17,1.35326,0.514,0.93406,0.90565,0.76806,0.79893,0.44087,1.51377,0.62511,0.92499,0.000954205,0.000954205,0.000954205
140,3534.62,1.33158,0.51191,0.92346,0.88113,0.77298,0.77926,0.42798,1.5447,0.6374,0.92815,0.000953549,0.000953549,0.000953549
141,3558.98,1.32573,0.50722,0.92581,0.89598,0.82099,0.82822,0.45879,1.52293,0.61633,0.92513,0.000952889,0.000952889,0.000952889
142,3583.4,1.32919,0.50785,0.92143,0.90692,0.89398,0.91297,0.51046,1.52805,0.60715,0.92641,0.000952225,0.000952225,0.000952225
143,3607.66,1.30617,0.4923,0.91054,0.9125,0.79486,0.81501,0.45335,1.54061,0.62592,0.93047,0.000951556,0.000951556,0.000951556
144,3631.93,1.30455,0.50458,0.91011,0.89727,0.7577,0.76528,0.42715,1.49662,0.63396,0.92175,0.000950883,0.000950883,0.000950883
145,3656.12,1.31705,0.50055,0.91168,0.88846,0.77687,0.79532,0.43832,1.53705,0.61746,0.93143,0.000950206,0.000950206,0.000950206
146,3680.51,1.31823,0.50224,0.91312,0.92223,0.85072,0.88345,0.48696,1.53271,0.61185,0.93057,0.000949524,0.000949524,0.000949524
147,3704.69,1.29474,0.49664,0.90895,0.89693,0.86686,0.87164,0.47966,1.58401,0.62648,0.94363,0.000948837,0.000948837,0.000948837
148,3729.09,1.2732,0.49268,0.90276,0.91067,0.88714,0.88495,0.49211,1.55551,0.62658,0.93012,0.000948147,0.000948147,0.000948147
149,3753.26,1.31032,0.50397,0.91756,0.90393,0.88252,0.89322,0.49757,1.53499,0.62316,0.9316,0.000947452,0.000947452,0.000947452
150,3777.65,1.29666,0.49975,0.90845,0.90113,0.76067,0.77188,0.42606,1.52361,0.64706,0.92495,0.000946752,0.000946752,0.000946752
151,3802.02,1.30755,0.50953,0.91285,0.91402,0.8054,0.81886,0.45234,1.54458,0.62873,0.93061,0.000946048,0.000946048,0.000946048
152,3826.75,1.31216,0.51129,0.91649,0.92478,0.74571,0.775,0.43082,1.53277,0.65039,0.9285,0.00094534,0.00094534,0.00094534
153,3850.96,1.31654,0.51039,0.9097,0.89979,0.85982,0.86818,0.48482,1.48582,0.62315,0.92253,0.000944628,0.000944628,0.000944628
154,3875.25,1.30327,0.50599,0.9067,0.91017,0.84348,0.85288,0.46129,1.55074,0.6322,0.93389,0.000943911,0.000943911,0.000943911
155,3899.42,1.30364,0.49824,0.9116,0.90927,0.75078,0.76849,0.41768,1.54186,0.64648,0.93116,0.000943189,0.000943189,0.000943189
156,3923.87,1.30957,0.50073,0.90666,0.89381,0.87816,0.86786,0.46396,1.57765,0.63061,0.93329,0.000942464,0.000942464,0.000942464
157,3948.22,1.30795,0.50017,0.90948,0.86178,0.75826,0.76065,0.41534,1.52795,0.62258,0.92491,0.000941734,0.000941734,0.000941734
158,3972.68,1.30289,0.49538,0.92104,0.90392,0.88561,0.88843,0.48714,1.54454,0.6126,0.93335,0.000941,0.000941,0.000941
159,3996.91,1.32885,0.50884,0.92069,0.90808,0.86565,0.88978,0.49628,1.55097,0.6292,0.93173,0.000940262,0.000940262,0.000940262
160,4021.23,1.29109,0.4959,0.90609,0.91545,0.77958,0.79843,0.43487,1.59302,0.63889,0.93803,0.000939519,0.000939519,0.000939519
161,4045.63,1.2805,0.49779,0.90818,0.88148,0.82361,0.83379,0.46332,1.52705,0.62855,0.92548,0.000938772,0.000938772,0.000938772
162,4069.9,1.30077,0.49365,0.90894,0.896,0.83774,0.85275,0.47759,1.51045,0.62833,0.92401,0.00093802,0.00093802,0.00093802
163,4094.2,1.30013,0.50231,0.91642,0.85042,0.91241,0.90205,0.49234,1.50336,0.63254,0.92319,0.000937265,0.000937265,0.000937265
164,4118.61,1.32955,0.50833,0.91154,0.89,0.76387,0.77867,0.41333,1.59957,0.65576,0.95182,0.000936505,0.000936505,0.000936505
165,4142.98,1.29851,0.5029,0.90903,0.91557,0.85279,0.88037,0.49483,1.53513,0.6124,0.92874,0.000935741,0.000935741,0.000935741
166,4167.38,1.27978,0.48403,0.90609,0.90323,0.84157,0.85213,0.4727,1.53827,0.61479,0.93068,0.000934973,0.000934973,0.000934973
167,4191.58,1.29128,0.49584,0.90627,0.90715,0.85987,0.87712,0.48511,1.54354,0.61999,0.93163,0.0009342,0.0009342,0.0009342
168,4216.02,1.27726,0.49458,0.91305,0.90606,0.81425,0.82631,0.44885,1.56929,0.64479,0.93634,0.000933423,0.000933423,0.000933423
169,4240.38,1.26987,0.48268,0.90123,0.88904,0.92029,0.91175,0.50661,1.57069,0.62156,0.93483,0.000932642,0.000932642,0.000932642
